record_id,category,publisher,feed_url,research_priority,publisher_type,scope,us_status,country_source,publication_country_verified,traffic_status,traffic_evidence,traffic_source,live_feed_status,feed_evidence,source_url,image_availability,image_permission,headline_permission,terms_url,notes,moderation_note,source_research_date,all_criteria_verified,production_enabled,image_display_enabled,http_status,last_feed_item_date,image_items_sampled
WM-0011,Sports,Yahoo Sports,https://sports.yahoo.com/rss,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,May include syndicated or institution-supplied material; rights can vary by item.,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0012,Sports,2aDays,https://www.2adays.com/blog/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0013,Sports,Awful Announcing,https://awfulannouncing.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0014,Sports,Boston.com,https://www.boston.com/category/sports/feed/,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0015,Sports,Chess.com,https://www.chess.com/rss/news,Secondary research,Commercial platform publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0016,Sports,ClutchPoints,https://clutchpoints.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0017,Sports,Deadspin,https://deadspin.com/rss,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0018,Sports,Defector,https://defector.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0019,Sports,Korked Bats,https://korkedbats.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0020,Sports,San Francisco 49ers,https://www.49ers.com/rss/news,Secondary research,Team-owned publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_news_rss_feeds/,Not inspected,Not cleared,Not cleared,,"Team source, not an independent newsroom.",Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0021,Sports,The Cold Wire,https://www.thecoldwire.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0022,Sports,The Washington Times,https://www.washingtontimes.com/rss/headlines/sports/,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0023,Sports,World Soccer Talk,https://worldsoccertalk.com/rss/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_news_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0024,Entertainment,Billboard,https://www.billboard.com/feed/,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0025,Entertainment,Deadline,https://deadline.com/feed/,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0026,Entertainment,E! Online,https://www.eonline.com/syndication/feeds/rssfeeds/topstories,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0027,Entertainment,Entertainment Tonight,https://www.etonline.com/news/rss,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0028,Entertainment,IndieWire,https://www.indiewire.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0029,Entertainment,Rolling Stone,https://www.rollingstone.com/music/music-news/feed/,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0030,Entertainment,The New York Times,https://rss.nytimes.com/services/xml/rss/nyt/Arts.xml,Review first,Publication,Topic-specific feed,U.S. location listed; publisher confirmation pending,https://www.similarweb.com/website/nytimes.com/,False,Estimated domain ranks documented; visit volume not verified,Aug 2026 | Global #71 | US #23 | US News & Media Publishers #2,https://www.similarweb.com/website/nytimes.com/,Not live-validated,Public feed registry; not live-validated,https://huggingface.co/spaces/Nymbo/news-rss-aggregator/blob/9bb3b94f50603df6fd4071fe949b39fbc93991f6/feeds_sorted.json,Not inspected,Not cleared,Not cleared,,"Traffic is whole-domain, not category/RSS readership.",Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0031,Entertainment,TheWrap,https://www.thewrap.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0032,Entertainment,TMZ,https://www.tmz.com/rss.xml,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Estimated domain ranks documented; visit volume not verified,"Aug 2026 | Global #1,389 | US #367 | US Arts and Entertainment - Other #3",https://www.similarweb.com/website/tmz.com/,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,"Traffic is whole-domain, not category/RSS readership.",Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0033,Entertainment,Us Weekly,https://www.usmagazine.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0034,Entertainment,Variety,https://variety.com/feed/,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0035,Entertainment,All About the Tea,https://allaboutthetea.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0036,Entertainment,Collider,https://collider.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0037,Entertainment,Hollywood Life,https://hollywoodlife.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0038,Entertainment,Just Jared,https://www.justjared.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0039,Entertainment,Perez Hilton,https://perezhilton.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0040,Entertainment,POPSUGAR,https://www.popsugar.com/entertainment/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0041,Entertainment,Reality Blurb,https://realityblurb.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0042,Entertainment,Soap Dirt,https://soapdirt.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0043,Entertainment,The Shade Room,https://theshaderoom.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0044,Entertainment,UPROXX,https://uproxx.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/entertainment_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0045,Technology,9to5Google,https://9to5google.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0046,Technology,9to5Mac,https://9to5mac.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0047,Technology,Ars Technica,http://feeds.arstechnica.com/arstechnica/index/,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,Legacy HTTP address as listed by source; verify HTTPS endpoint before production.,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0048,Technology,CNET,https://www.cnet.com/rss/news,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0049,Technology,Digital Trends,https://www.digitaltrends.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0050,Technology,Engadget,https://www.engadget.com/rss.xml,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0051,Technology,MIT Technology Review,https://www.technologyreview.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0052,Technology,PCMag,https://www.pcmag.com/feeds/rss/latest,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0053,Technology,TechCrunch,https://techcrunch.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/business_rss_feeds/,Not inspected,Not cleared,Review publisher RSS terms,https://techcrunch.com/rss-terms-of-use/,Read linked publisher RSS terms before display.,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0054,Technology,The New York Times,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,Review first,Publication,Topic-specific feed,U.S. location listed; publisher confirmation pending,https://www.similarweb.com/website/nytimes.com/,False,Estimated domain ranks documented; visit volume not verified,Aug 2026 | Global #71 | US #23 | US News & Media Publishers #2,https://www.similarweb.com/website/nytimes.com/,Not live-validated,Public feed registry; not live-validated,https://huggingface.co/spaces/Nymbo/news-rss-aggregator/blob/9bb3b94f50603df6fd4071fe949b39fbc93991f6/feeds_sorted.json,Not inspected,Not cleared,Not cleared,,"Traffic is whole-domain, not category/RSS readership.",Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0055,Technology,The Verge,https://www.theverge.com/rss/index.xml,Review first,Publication,Publisher feed; topic filtering may be needed,U.S. HQ listed by Similarweb,https://www.similarweb.com/website/theverge.com/,False,Estimated domain ranks documented; visit volume not verified,"Aug 2026 | Global #8,895 | US #3,007 | US News & Media Publishers #143",https://www.similarweb.com/website/theverge.com/,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,"Traffic is whole-domain, not category/RSS readership.",Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0056,Technology,Tom's Guide,https://www.tomsguide.com/feeds.xml,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0057,Technology,Tom's Hardware,https://www.tomshardware.com/feeds.xml,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0058,Technology,WIRED,https://www.wired.com/feed/rss,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0059,Technology,ZDNET,https://www.zdnet.com/news/rss.xml,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0060,Technology,Android Authority,https://www.androidauthority.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0061,Technology,Android Headlines,https://www.androidheadlines.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0062,Technology,Android Police,https://www.androidpolice.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0063,Technology,AppleInsider,https://appleinsider.com/rss/news,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0064,Technology,Cloudflare,https://blog.cloudflare.com/rss/,Secondary research,Corporate blog,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0065,Technology,Computerworld,https://www.computerworld.com/feed,Secondary research,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/technology_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
